Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Mildred Walizer,media/Mildred Walizer - Tsuru Yokozeki -- Terminal Island.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1Q66SVpc7Vci1gy025LrIqVbn9KcW2ro0/view?usp=sharing,"Mildred Walizer (1874-1933) was an educator and principal of the East San Pedro School on Terminal Island. Hired as an “Americanization” teacher in 1918 and charged with overseeing the assimilation of the mostly Japanese American student body, Walizer rejected the notion that her students needed to be changed. She fostered an educational environment that allowed her students to embrace and celebrate both their Japanese and their American identities. In the midst of the Great Depression, Terminal Island parents raised funds to send Walizer on vacation to Japan, as a way of recognizing her altruism and impact. When she died, parents renamed the school in her honor.",17,Plain,blue,Terminal Island,33.7305398,-118.2683168,,,,
Terminal Island Memorial,,,,"Terminal Island is a mostly artificial island located between the neighborhoods of Wilmington and San Pedro. The land area of Terminal Island was supplemented and expanded during the formation and maintenance of the Port of Los Angeles. From the 1900s until World War II, the island was home to a vibrant community of about 3,500 first- and second-generation Japanese Americans, most of whom worked in the fishing industry and lived in an area known as East San Pedro or Fish Island. In 1942, amid widespread anti-Japanese sentiment across the United States, the federal government gave the Japanese American residents of Terminal Island just 48 hours to prepare for relocation. Everyone was ordered to leave the island, with most of them forcibly evacuated to Japanese internment camps. After the war, those who returned found nothing remaining—their homes, fishing boats, and possessions were all gone. The island now houses a federal correctional facility and is used exclusively for industrial and port-related activities. The former Japanese American residents of Terminal Island have worked to keep alive the memories of their history and culture on Terminal Island. In 2002, they established a memorial there to honor those memories.",17,Hidden,blue,,,,,,,
Maria Guadalupe Evangelina de Lopez,media/Maria de Lopez -- La casa de Lopez de Lowther Adobe.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1gACAlnIl3d9pS-5AzNefhZZWuE198dtP/view?usp=sharing,Maria Guadalupe Evangelina de Lopez (1881-1977) was an instructor at UCLA and possibly the first Latina to teach at UCLA. Lopez was a speaker and a translator into Spanish of materials to help the California suffrage campaign. She is credited as the first person in the state of California to give speeches in support of women's suffrage in Spanish. She is pictured here in front of the Lopez-Lowther adobe.,17,Plain,blue,Lopez-Lowther adobe,34.1060347,-118.1040884,,,,
"Dr. Vada Somerville, Dr. John Somerville",media/Drs Vada and John Alexander Somerville -- Hotel Dunbar.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1pDJpqr8KxlQTtKW-4-jkRyMQxqOFQTNy/view?usp=sharing,"Vada (1885-1972)  and John (ca.1882-1973) Somerville were a married couple who became dentists, leading civil rights activists, and accomplished entrepreneurs in early-twentieth-century Los Angeles. John Somerville, a Jamaican immigrant, became the first Black graduate from the University of Southern California’s School of Dentistry. Vada Somerville became that school’s second Black graduate and the first African American woman licensed to practice dentistry in California. In 1914, the Somervilles cofounded the first Los Angeles chapter of the National Association for the Advancement of Colored People (NAACP) and became entrepreneurs when they built the Hotel Somerville in 1928. After her retirement, Vada Somerville became active in civic organizations, including the Los Angeles League of Women’s Voters, the Council on Public Affairs, UCLA’s YWCA, and the USC Half Century Club. In honor of the couple’s leadership, Somerville Place, a residential dorm at USC, was named for the couple.",17,Plain,blue,Dunbar Hotel,34.0068655,-118.2567376,,,,
Hotel Dunbar,,,,"Vada and John Somerville established the Hotel Somerville to provide upscale accommodations for African Americans who were excluded from whites-only establishments in Los Angeles. During the Great Depression, the Somervilles sold the hotel to Lucius Lomax, who renamed it in honor of the poet Paul Laurence Dunbar, a son of formerly enslaved people. The hotel became the heart of the blues and jazz scene that blossomed on Central Avenue from the 1920s through the 1950s. Many prominent musicians stayed or performed at the Dunbar, including Duke Ellington, Louis Armstrong, Louis Jordan, Count Basie, Lionel Hampton, Lena Horne, Ella Fitzgerald, Billie Holiday, Cab Calloway, and Nat King Cole. Other famous guests included Ray Charles, Bill “Bojangles” Robinson, Herb Jeffries, Langston Hughes, Joe Louis, Arthur B. Spingarn, and W. E. B. Du Bois. Racial integration led to a decline in the Dunbar’s business, and by the 1960s it had slowly fallen into disrepair. After standing vacant for a decade and enduring several failed renovation attempts, the hotel has now been redeveloped into an affordable housing project for seniors and families. ",17,Hidden,blue,,,,,,,
Julius Levitt,media/Julius Levitt -- Breed Street Shul.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/18Sz5_mcThjAneGTzwBQtNNOpXGQcRU1i/view?usp=sharing,"Julius Levitt (1885–1952) was a community activist in Los Angeles who brought attention to the horrors of Nazism throughout the world. Levitt was the founding president of the Jewish Labor Committee of Los Angeles (JLC), established in early 1935. On November 10, 1938, in Germany, Nazi storm troopers looted Jewish-owned stores, burned synagogues, and beat people in the streets. Known as Kristallnacht, or Night of Broken Glass, this event was a precursor to the genocide of European Jews during World War II. In November 1938, to protest Kristallnacht and honor its victims, the JLC and other organizations staged an interfaith march in Boyle Heights. Some 10,000 to 15,000 people of all different races and backgrounds marched down Brooklyn Avenue (now Cesar Chavez Avenue). Despite the anti-Nazi efforts of Levitt and many other activists, the United States did not enter into World War II until after the attack on Pearl Harbor on December 7, 1941.",17,Plain,blue,Breed Street Shul,34.0468607,-118.2095781,,,,
Breed Street Shul,,,,"Breed Street Shul, also known as Breed Street Synagogue and once the home of Congregation Talmud Torah of Los Angeles, was an Orthodox Jewish synagogue in the Boyle Heights neighborhood. From 1915 to 1951, it was the largest Orthodox synagogue west of Chicago and during that time became the center of Jewish community life in Boyle Heights. During the postwar era, as the area’s population shifted and congregants moved to other parts of town and joined new synagogues, Breed Street Shul began falling into disrepair. In 2000, the Breed Street Shul Project acquired the site to rehabilitate the landmark and transform it into a center of arts, culture, and education whose mission is to serve the needs of its current neighbors.",17,Hidden,blue,,,,,,,
Tsuru Yokozeki,media/Mildred Walizer - Tsuru Yokozeki -- Terminal Island.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1Q66SVpc7Vci1gy025LrIqVbn9KcW2ro0/view?usp=sharing,"Tsuru Yokozeki (1892–1981) was a prominent member of the large Japanese American community living on Terminal Island. Because she was fluent in both Japanese and English, she acted as a translator for the local community. During World War II, she and the other Japanese Americans on Terminal Island were deemed “resident enemy aliens” under President Franklin D. Roosevelt’s Executive Order 9066 and were forced to leave their homes. Tsuru was sent to Granada Relocation Center in southeastern Colorado, and was held there from September 1942 until September 1945. She became a United States citizen in September 1953. As part of the Japanese-American Claims Act of 1948 that compensated Japanese American property loss from forced relocation, Yokozeki filed a claim with the Attorney General for the loss of three leased apartments; she lost the claim in 1956. She passed away in Agana, Guam, in November 1981.",17,Plain,blue,Terminal Island,33.7305398,-118.2683168,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,,
Terminal Island Memorial,,,,"Terminal Island is a mostly artificial island located between the neighborhoods of Wilmington and San Pedro. The land area of Terminal Island was supplemented and expanded during the formation and maintenance of the Port of Los Angeles. From the 1900s until World War II, the island was home to a vibrant community of about 3,500 first- and second-generation Japanese Americans, most of whom worked in the fishing industry and lived in an area known as East San Pedro or Fish Island. In 1942, amid widespread anti-Japanese sentiment across the United States, the federal government gave the Japanese American residents of Terminal Island just 48 hours to prepare for relocation. Everyone was ordered to leave the island, with most of them forcibly evacuated to Japanese internment camps. After the war, those who returned found nothing remaining—their homes, fishing boats, and possessions were all gone. The island now houses a federal correctional facility and is used exclusively for industrial and port-related activities. The former Japanese American residents of Terminal Island have worked to keep alive the memories of their history and culture on Terminal Island. In 2002, they established a memorial there to honor those memories.",17,Hidden,blue,,,,,,,
Yiu Hai Seto Quon “Mama Quon”,media/Mama Quon - Grand Star.jpg,CC BY-NC-SA 4.0,https://drive.google.com/file/d/1-GYyAhxzWX_kZMt3EHs6BM5XV48plXqq/view?usp=sharing,"Yiu Hai Seto Quon “Mama Quon” (1899 – 1999) was a Chinese-American restaurateur, chef, and community leader in Chinatown Los Angeles. There are two Chinatowns in this story. Los Angeles’ Chinatown was originally in the Olvera Street area, the oldest part of the city of Los Angeles; residents were forcibly evicted because of racism and civic development to build Union Station. As one of the first Chinese women to arrive in early Chinatown in 1922, her father-in-law ran one of the earliest local Chinese restaurants, located near modern day Union Station. In 1938, New Chinatown debuted. Mama Quon and her husband opened Grand Star Restaurant in 1946. The restaurant popularized Chinese food with American ingredients. Grand Star Restaurant morphed into a bar and jazz club and from the mid 90s to late 2000, was known for Firecracker, an inclusive underground hip-hop and jazz nightlife event. The Grand Star Jazz Club is currently closed during the current pandemic.",17,Plain,blue,Grand Star Jazz Club,34.0650507,-118.2375635,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,0.7,geojson/canal-1851.geojson,color:red;weight:3
Louise Leung Larson,media/Louise Leung Larson - Los Angeles High School.jpg,CC BY-NC-SA 4.1,https://drive.google.com/file/d/1bnzfMiJh1jdzWbXIy6mL81KOGGFIdhSF/view?usp=sharing,"Louise Leung Larson (1905 – 1988) was the first Chinese American woman and the first Chinese American reporter for a mainstream newspaper, writing for the Los Angeles Record, San Francisco News, Chicago Daily Times, Los Angeles Times Sunday Magazine, and the Los Angeles Daily News. Larson graduated from Los Angeles High School (pictured here) and attended USC, where she discovered she had a knack for journalism. She started out covering the court beat, including what was going on in Los Angeles courts, county jail and the coroner’s office. She is famously known for covering Al Capone’s 1931 tax-evasion trial and Madame Chiang Kai-shek’s 1942 8-month speaking tour, raising awareness of the Japanese invasion of China. Larson also covered celebrities, including Anna May Wong, Aimee Semple McPherson and Charlie Chaplin and wrote about Chinese American life. Larson’s father, Tom Leung, was a noted herbalist in Los Angeles and experienced racism and xenophobia typical of that time period, such as frequent police harassment. Along with her daughter Jane Leung Larson, Larson wrote Sweet Bamboo, a book that covers four generations of the Leung family. As a note for researchers, within her family and some early newspaper articles, Larson is referred to as Mamie Leung, Louise Leung, Louise Larson, or Mamie Leung Larson. 
",17,Plain,blue,Los Angeles High School,34.0554187,-118.3323143,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Miriam Matthews,media/Miriam Matthews - Hyde Park Branch.jpg,CC BY-NC-SA 4.2,https://drive.google.com/file/d/1LFSzsnUsps-9fZq5zQKvvGrkiwLGtUxd/view?usp=sharing,"Miriam Matthews (1905 – 2003) is Los Angeles Public Library’s first African American Librarian and an activist in information access, raising awareness of the needs of the African American community and the history of African Americans to the greater community. Matthews received a BA and certificate in librarianship in UC Berkeley in 1927. Coming back to Los Angeles, she almost missed the examination date to become a librarian for LAPL because she was given the wrong examination date. Matthews passed the test and thrived in spite of barriers at LAPL – building references resources used by librarians throughout the nation, creating a landmark archival collection of early Los Angeles African American history and promoting to a regional library supervisor of 12 South Los Angeles library branches. Matthews is also known for her support of Black artists and she is well known for the co-founding of the Associated Artists Gallery. After her retirement at LAPL, Matthews worked on California heritage preservation projects that resulted in the Los Pobladores monument located in El Pueblo de Los Angeles State Historic Park Plaza. Los Angeles was founded in 1781 by a group of 11 families of Mexicans of African, white and indigenous backgrounds known as “Los Pobladores”. In 2004, in recognition of her trailblazing work, the Hyde Park Branch Library of LAPL was renamed in her honor.",17,Plain,blue,Hyde Park Branch,33.9747784,-118.3182044,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Anita Andrade Castro,media/Anita Andrade Castro -- Garment District.jpg,CC BY-NC-SA 4.3,https://drive.google.com/file/d/1sDOm27tSvvUAdyLTTJKA6Wapmyq1ak68/view?usp=sharing,"Anita Castro was a union activist and organizer in Los Angeles. Born in the former Yugoslavia, Castro and her family immigrated to Argentina before arriving in California in the 1930s. While employed as a garment worker in Los Angeles, Castro saw, firsthand, the substandard working conditions that she would strive to change. Initially recruited by the International Ladies Garment Workers Union as a translator, she became a union member in 1933 and stayed a lifelong union activist. Starting with the Los Angeles Garment Workers strike of 1933, Castro was arrested more than forty times and believed passionately that worker rights are worth fighting for.",17,Plain,blue,Platt Building,34.042789,-118.2551579,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Platt Building,,,,"Standing in the heart of Los Angeles’s garment district, where Anita Castro once worked and protested, is the Platt Building, an 11-story brick-front high rise built in 1927. The Platt Building was originally the headquarters of the Platt Music Corporation, which focused on selling consumer electronics goods, until it ceased operations in 1988. In the 1930s, the Platt Building had several garment-making establishments and was one of the major buildings that struck during the Los Angeles Garment Workers strike of 1933. The building is also referred to as one of the Anjac Fashion Buildings, named after real estate developers who started purchasing buildings in the area during the 1960s. In 1933, the Los Angeles garment industry employed nearly 7,500 workers, half of whom worked in an estimated 200 small sweatshops scattered throughout the city’s Downtown garment district. Latinas comprised nearly 75 percent of those workers, with the rest consisting of Italians, Russians, and Americans. Los Angeles’s fashion district remains the nation’s garment production capital and the city’s largest manufacturing sector. Over 45,000 workers cut, sew, and finish garments locally, a workforce comprising primarily Latinx and Asian immigrants.",17,Hidden,blue,,,,,,,
Helen Brown,media/Helen Brown -- Echo Park Lake.jpg,CC BY-NC-SA 4.4,https://drive.google.com/file/d/1jgMjNbXxkBVQSv9Zw9puADaP3YEqlXET/view?usp=sharing,"Helen Brown (1915-2011) was an educator, founder of the Filipino American Library, and cofounder of the Los Angeles chapter of the Filipino American National Historical Society. Born in the Philippines, she immigrated with her family to Los Angeles, where she attended UCLA and graduated with a master’s degree in education. During World War II, she worked as a welder before becoming a third grade teacher in the Los Angeles Unified School District. 

Throughout her lifetime, Brown, known affectionately as “Auntie Helen,” amassed a collection of Pilipinx books, pamphlets, photographs, and artifacts. In 1985 she founded a reading room in a church basement near Echo Park that eventually became the Filipino American Library. With more than 6,000 titles—the largest collection of its kind—the library not only enriched scholarship related to the Pilipinx population but also sponsored exhibits and programs that promoted literacy and cultural engagement.
",17,Plain,blue,Echo Park Lake,34.0733045,-118.2599942,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Echo Park Lake,,,,"One of the key public spaces and community gathering spaces of Echo Park and Historic Filipinotown is Echo Park Lake. In 1868, Echo Park Lake was dug and made into a reservoir, using water diverted from the Los Angeles River. In 1891, the handful of landowners who owned properties around the reservoir gave 33 acres to the City of Los Angeles, in a deal that made their remaining land more valuable and allowed the city to create a park. Work on the park began in 1892 and was completed in 1985. In the late 1920s, motion picture companies on Allesandro Street, now Glendale Boulevard, were using the park for filming; they were subsequently barred. In 2011, Echo Park Lake went through a renovation and revitalization. In 2013, the lake reopened as more than a place just for recreational enjoyment but rather as an environment designed to be part of the Los Angeles ecosystem, serving as a gathering place for local wildlife and migrating birds.",17,Hidden,blue,,,,,,,
Arnett Hartsfield,media/Arnett Hartsfield -- Engine Co. No. 30.jpg,CC BY-NC-SA 4.5,https://drive.google.com/file/d/1NuoRwKI7fbM8OWFx3qvH-OsBE72QVrXZ/view?usp=sharing,"Arnett Hartsfield (1918–2014) was an army veteran and firefighter who helped integrate the Los Angeles Fire Department (LAFD). After several years in the army, Hartsfield joined the fire department and utilized his GI Bill benefits to go back to school, attending both the University of California, Los Angeles, and the University of Southern California. Despite prestigious college degrees, Hartsfield was denied promotions in the LAFD and was forced to work in segregated firehouses before he helped integrate them in 1956. Before integration, African American firefighters could only be promoted within the two African American fire companies in Los Angeles; promotional opportunities were limited to only when someone left a position. Inspired by the landmark school desegregation decision of Brown vs. the Board of Education, Hartsfield and 30 other African American firefighters formed the Stentorians, protested against segregation in the fire department and ultimately won that fight. After 20 years as a firefighter, Hartsfield retired in 1961 to become an attorney and a professor of Black Studies. During his retirement, Hartsfield served as the African American Firefighter Museum’s historian. At age 92, he was recognized for his work when he was named Honorary Fire Chief by the LAFD.",17,Plain,blue,Los Angeles Fire Department Engine Company No. 30,34.0284523,-118.2472488,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Los Angeles Fire Department Engine Company No. 30,,,,"In 1923, Fire Station No. 30 became the first of two African American fire companies in Los Angeles. Before 1955, all African American firefighters worked in either Station 30 or Station 14, both stations were located on Central Avenue. By 1985, the building had fell into disuse and sustained fire damage. From 1995 to 1997, the old fire station was repaired to house the African American Firefighter Museum (AAFFM). The museum, which relies entirely on volunteers and donations, is open to the public.",17,Hidden,blue,,,,,,,
Yuri Kochiyama,media/Yuri Kochiyama - Santa Anita Park.jpg,CC BY-NC-SA 4.6,https://drive.google.com/file/d/1LavGdfAMWIbRHXm6UCyZXIDCKI8j1rDl/view?usp=sharing,"Yuri Kochiyama (1921 – 2014) is a grassroots human rights activist who was active in Black revolutionary politics and Asian American empowerment movements. Kochiyama was born and raised in San Pedro; after the attack on Pearl Harbor in 1941, Kochiyama’s father, in spite of being ill, was immediately detained at Terminal Island Federal Prison until right before his death. When President Roosevelt signed Executive Order 9066 in 1942, her family and other people of Japanese descent throughout California were temporarily relocated to Santa Anita Park in Arcadia, pictured as the background to this coloring page. Her family was then sent to and spent the next few years at the Rohwer Japanese American Relocation Center in Arkansas. After the war, Kochiyama married and lived in New York City. Once there, she became involved in her community, first actively installing street lights and improving living conditions in Harlem. Then after meeting and becoming influenced by Malcolm X, she fought for Black civil rights and is famously pictured in Life magazine cradling Malcolm X’s head after his murder. In the 1980s she protested for reparations for Japanese American World War II internees, leading to President Reagan signing the Civil Liberties Act of 1988.",17,Plain,blue,Santa Anita Park,34.1366323,-118.040605,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Marilyn Jorgenson Reece,media/Marilyn Jorgenson Reece - I-405_I-10 freeway interchange.jpg,CC BY-NC-SA 4.7,https://drive.google.com/file/d/11p2HAoDOO3BnoLReYgIhMesLoYBQmhC1/view?usp=sharing,"Marilyn Jorgenson Reece (1926 – 2004) was California’s first licensed female civil engineer and the designer of the I-405 / I-10 Interchange in Los Angeles. The groundbreaking interchange design was completed in 1964 and was used as an example for new freeway constructions throughout the world. The design allowed for high speed movement of cars by using curved shapes within the densely populated surrounding the intersection of Sepulveda and Olympic Boulevards. In 2007, Caltrans renamed the I-405 / I-10 freeway interchange as the Marilyn Jorgensen Reece Memorial Interchange. The pattern on Reece’s dress is a pattern made of the overhead view of the I-405 / I-10 Interchange.",17,Plain,blue,I 405 / I 10 Interchange,34.0315668,-118.4305194,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
Norma Merrick Sklarek,media/Norma Merrick Sklarek -- Pacific Design Center.jpg,CC BY-NC-SA 4.8,https://drive.google.com/file/d/1_i-USA3kKkyE_RirRSs57lCxt3X9Wnib/view?usp=sharing,"Norma Merrick Sklarek (1926–2012) was an architect who used her position to mentor and lift up other minorities in the architecture field. Sklarek should be noted for her multiple firsts as a black woman: first to graduate from Columbia University School of Architecture in 1950, first licensed architect in the state of New York in 1954, first licensed architect in California in 1962, and the first member of the American Institute of Architects (AIA) in 1959. She famously worked on the following local large-scale projects: California Mart (1963), the Pacific Design Center (1978), San Bernardino City Hall (1973), and Terminal One at LAX (1984).",17,Plain,blue,Pacific Design Center,34.0823525,-118.3825343,https://mapwarper.net/maps/tile/52882/{z}/{x}/{y}.png,,,
